Twitter Query: #PSTweetChat -filter:retweets -filter:replies,,,,,,,,,,,User Details,,,,,,,,,
Date,Screen Name,Full Name,Tweet Text,Tweet ID,Link(s),Media,Location,Retweets,Favorites,App,Followers,Follows,Listed,Verfied,User Since,Location,Bio,Website,Timezone,Profile Image
3/1/2019,@WindosNZ,Josh (Windos) King,Created a #pstweetchat word cloud from today's chat using @mkellerman's PSTwitterAPI and @vexx32's PSWordCloud. Awesome result!,1101570220773142528,,https://pbs.twimg.com/media/D0mPoUBV4AAGELI.jpg,,2,6,Twitter Web Client,804,666,54,,7/12/2012,New Zealand,"Geek, Father, Walking Helpdesk. If you enjoy my content, please consider buying me a coffee: http://ko-fi.com/windos",http://king.geek.nz,,View
3/1/2019,@Jaykul,Joel Bennett,What is still missing in Core that causes you to fumble? #SinceYouBroughtItUp #PSTweetChat @JeffHicks,1101560434778402816,,,,0,0,Twitter Web Client,2571,713,231,,4/17/2008,"Rochester, New York","The pit of success, the happy path, the sunny day -- let's make more of them.",https://careers.stackoverflow.com/jaykul,,View
3/1/2019,@WindosNZ,Josh (Windos) King,"Heh, this is how I measure how busy #PSTweetChat was...",1101560121790881793,,https://pbs.twimg.com/media/D0mHFe2U4AAXH1v.jpg,,0,1,Twitter for Android,804,666,54,,7/12/2012,New Zealand,"Geek, Father, Walking Helpdesk. If you enjoy my content, please consider buying me a coffee: http://ko-fi.com/windos",http://king.geek.nz,,View
3/1/2019,@JeffHicks,Jeff Hicks,I wish there was a way to insert a hashtag into someone else's tweet. #PSTweetchat,1101558757258076160,,,,0,2,TweetDeck,15050,957,738,,4/22/2008,"Syracuse, NY","IT Pro veteran, Microsoft MVP, author, teacher, speaker, Pluralsight author. AKA Prof. PowerShell Emeritus. http://about.me/JeffHicks",http://jdhitsolutions.com/blog,,View
3/1/2019,@JeffHicks,Jeff Hicks,Thanks everyone for a terrific month of chat. #pstweetchat,1101558292667600896,,,,1,4,tchat.io,15050,957,738,,4/22/2008,"Syracuse, NY","IT Pro veteran, Microsoft MVP, author, teacher, speaker, Pluralsight author. AKA Prof. PowerShell Emeritus. http://about.me/JeffHicks",http://jdhitsolutions.com/blog,,View
3/1/2019,@WindosNZ,Josh (Windos) King,"Technically, #PSTweetChat is over, but I'll be sticking around for a bit if you want to keep chatting. If not, hope to see you next month! Remember that this happens on the first Friday of every month from 1PM to 2PM Eastern (put it in your calendar now!)",1101558220722716673,,,,0,3,TweetDeck,804,666,54,,7/12/2012,New Zealand,"Geek, Father, Walking Helpdesk. If you enjoy my content, please consider buying me a coffee: http://ko-fi.com/windos",http://king.geek.nz,,View
3/1/2019,@JeffHicks,Jeff Hicks,I'm testing something this month and next to see if I can capture the chat stream. But it depends on using the tag -> #pstweetchat,1101557358164148231,,,,0,4,tchat.io,15050,957,738,,4/22/2008,"Syracuse, NY","IT Pro veteran, Microsoft MVP, author, teacher, speaker, Pluralsight author. AKA Prof. PowerShell Emeritus. http://about.me/JeffHicks",http://jdhitsolutions.com/blog,,View
3/1/2019,@WindosNZ,Josh (Windos) King,Can't believe I nearly forgot to promote this! This month we (@ANZPSUG) have our first online meeting of the year and the wonderful @FredWeinmann talking about #PSFramework I know it's an odd time for some... but hope to see you there! #pstweetchat,1101557213603098624,https://www.meetup.com/ANZ-PowerShell-UserGroup/events/259140062/,,,4,4,Twitter Web Client,804,666,54,,7/12/2012,New Zealand,"Geek, Father, Walking Helpdesk. If you enjoy my content, please consider buying me a coffee: http://ko-fi.com/windos",http://king.geek.nz,,View
3/1/2019,@LittlejohnPSH,littlejohnpowershell,PowerShell on the River CFPs are closed. Be on the lookout for when tickets go on sale!  #PSTweetchat,1101554540170674176,https://www.powershellchatt.com/,,,0,1,Twitter for Android,177,61,2,,3/29/2018,"Tennessee, USA",Automation through PowerShell,http://littlejohnpowershell.wordpress.com,,View
3/1/2019,@SOZDBA,Shane O'Neill @ #sqlbits,#PSTweetchat don't be afraid to join in on #pwsh_eats as well,1101552940379189249,,https://pbs.twimg.com/media/D0mAjYYXcAAsyWk.jpg,,0,0,Twitter for Android,1011,1962,30,,2/26/2009,Ireland,"DBA. PowerShell. Food, Coffee, Whiskey (not necessarily in that order)... Social Media person for DBAFundamentals",http://nocolumnname.blog,,View
